Source,Target,Type,Weight
Sveinung Rotevatn,Espen Barth Eide,Directed,1
Sveinung Rotevatn,Peter Frølich,Directed,1
Sveinung Rotevatn,Sandra Borch,Directed,1
Sveinung Rotevatn,Per-Willy Amundsen,Directed,1
Sveinung Rotevatn,Kari Elisabeth Kaski,Directed,1
Sveinung Rotevatn,M Tybring-Gjedde,Directed,1
Sveinung Rotevatn,Lars Haltbrekken,Directed,1
Sveinung Rotevatn,Marte Mjøs Persen,Directed,1
Sveinung Rotevatn,Jan Tore Sanner,Directed,1
Sveinung Rotevatn,Carl Ivar Hagen,Directed,1
Sveinung Rotevatn,Nikolai Astrup,Directed,1
Sveinung Rotevatn,VamPus,Directed,1
Sveinung Rotevatn,Himanshu,Directed,1
Sveinung Rotevatn,Geir Pollestad,Directed,1
Sveinung Rotevatn,Bjørnar Moxnes,Directed,1
Sveinung Rotevatn,Mímir Kristjánsson,Directed,1
Sveinung Rotevatn,Audun Lysbakken,Directed,1
Sveinung Rotevatn,Bård Hoksrud,Directed,1
Sveinung Rotevatn,AnetteTrettebergst.,Directed,1
Sveinung Rotevatn,Erling Sande,Directed,1
Sveinung Rotevatn,Alfred Jens,Directed,1
Sveinung Rotevatn,Abid Raja,Directed,1
Sveinung Rotevatn,Guri Melby,Directed,1
Sveinung Rotevatn,Henrik Asheim,Directed,1
Sveinung Rotevatn,Hadia Tajik,Directed,1
Sveinung Rotevatn,Kjell Ingolf Ropstad,Directed,1
Sveinung Rotevatn,Erna Solberg,Directed,1
AnetteTrettebergst.,Eigil Knutsen,Directed,1
AnetteTrettebergst.,Nils K. Sandtrøen,Directed,1
AnetteTrettebergst.,Tage Pettersen,Directed,1
AnetteTrettebergst.,Sverre Myrli,Directed,1
AnetteTrettebergst.,Ola Elvestuen,Directed,1
AnetteTrettebergst.,Tina Bru,Directed,1
AnetteTrettebergst.,Marte Mjøs Persen,Directed,1
AnetteTrettebergst.,Peter Frølich,Directed,1
AnetteTrettebergst.,Mani Hussaini,Directed,1
AnetteTrettebergst.,Kari Elisabeth Kaski,Directed,1
AnetteTrettebergst.,Erlend Wiborg,Directed,1
AnetteTrettebergst.,Bjørnar Moxnes,Directed,1
AnetteTrettebergst.,Cecilie Myrseth,Directed,1
AnetteTrettebergst.,Jan Tore Sanner,Directed,1
AnetteTrettebergst.,Sveinung Rotevatn,Directed,1
AnetteTrettebergst.,Sandra Borch,Directed,1
AnetteTrettebergst.,Rigmor Aasrud,Directed,1
AnetteTrettebergst.,Lene Vågslid,Directed,1
AnetteTrettebergst.,Kjersti Toppe,Directed,1
AnetteTrettebergst.,Lise Christoffersen,Directed,1
AnetteTrettebergst.,Espen Barth Eide,Directed,1
AnetteTrettebergst.,Kari Henriksen,Directed,1
AnetteTrettebergst.,Ingvild Kjerkol,Directed,1
AnetteTrettebergst.,Mímir Kristjánsson,Directed,1
AnetteTrettebergst.,Linda H. Helleland,Directed,1
AnetteTrettebergst.,Anniken Huitfeldt,Directed,1
AnetteTrettebergst.,Lene Westgaard-Halle,Directed,1
AnetteTrettebergst.,Geir Pollestad,Directed,1
AnetteTrettebergst.,Kjell Ingolf Ropstad,Directed,1
AnetteTrettebergst.,Eva Kristin,Directed,1
AnetteTrettebergst.,Nikolai Astrup,Directed,1
AnetteTrettebergst.,Erna Solberg,Directed,1
AnetteTrettebergst.,Henrik Asheim,Directed,1
AnetteTrettebergst.,Abid Raja,Directed,1
AnetteTrettebergst.,Jonas Gahr Støre,Directed,1
AnetteTrettebergst.,Audun Lysbakken,Directed,1
AnetteTrettebergst.,Erling Sande,Directed,1
AnetteTrettebergst.,VamPus,Directed,1
AnetteTrettebergst.,Lise Selnes,Directed,1
AnetteTrettebergst.,Hadia Tajik,Directed,1
AnetteTrettebergst.,Åsmund Aukrust,Directed,1
AnetteTrettebergst.,Masud Gharahkhani,Directed,1
Mímir Kristjánsson,Sofie Marhaug,Directed,1
Mímir Kristjánsson,Roy Steffensen   roysteffensen,Directed,1
Mímir Kristjánsson,Mani Hussaini,Directed,1
Mímir Kristjánsson,Jonas Gahr Støre,Directed,1
Mímir Kristjánsson,Jan Tore Sanner,Directed,1
Mímir Kristjánsson,Kari Elisabeth Kaski,Directed,1
Mímir Kristjánsson,Sveinung Rotevatn,Directed,1
Mímir Kristjánsson,Tina Bru,Directed,1
Mímir Kristjánsson,Geir Pollestad,Directed,1
Mímir Kristjánsson,AnetteTrettebergst.,Directed,1
Mímir Kristjánsson,Henrik Asheim,Directed,1
Mímir Kristjánsson,Lars Haltbrekken,Directed,1
Mímir Kristjánsson,Nikolai Astrup,Directed,1
Mímir Kristjánsson,Bjørnar Moxnes,Directed,1
Mímir Kristjánsson,Abid Raja,Directed,1
Mímir Kristjánsson,Hadia Tajik,Directed,1
Mímir Kristjánsson,Erna Solberg,Directed,1
Mímir Kristjánsson,Audun Lysbakken,Directed,1
Mímir Kristjánsson,Kamzy Gunaratnam,Directed,1
Mímir Kristjánsson,VamPus,Directed,1
Mímir Kristjánsson,Marie Sneve,Directed,1
Mímir Kristjánsson,Kjell Ingolf Ropstad,Directed,1
