Source,Target,Type,Weight
20868447,18293645,Directed,1
20868447,18387289,Directed,1
20868447,34941106,Directed,1
20868447,32535843,Directed,1
20868447,32397331,Directed,1
20868447,20679622,Directed,1
20868447,22415635,Directed,1
20868447,45565446,Directed,1
20868447,26708613,Directed,1
20868447,21423985,Directed,1
21035347,86154361,Directed,1
21035347,244983461,Directed,1
21035347,38260259,Directed,1
21035347,20611702,Directed,1
21035347,18387289,Directed,1
21423985,907517876973834241,Directed,1
21423985,1551459979,Directed,1
21423985,333903537,Directed,1
21423985,112871323,Directed,1
21423985,32535843,Directed,1
21423985,217217458,Directed,1
21423985,39974570,Directed,1
21423985,26837025,Directed,1
21423985,524326247,Directed,1
21423985,28361716,Directed,1
21423985,319228928,Directed,1
21423985,29928571,Directed,1
21423985,2645220702,Directed,1
21423985,2924816561,Directed,1
21423985,38769939,Directed,1
21423985,37677256,Directed,1
21423985,218910852,Directed,1
21423985,951333086,Directed,1
21423985,34656014,Directed,1
21423985,101727020,Directed,1
21423985,86154361,Directed,1
21423985,369395471,Directed,1
21423985,34703909,Directed,1
21423985,20679622,Directed,1
21423985,18387289,Directed,1
21423985,42845459,Directed,1
21423985,279131939,Directed,1
21423985,37665779,Directed,1
21423985,18293645,Directed,1
21423985,20301193,Directed,1
21423985,20611702,Directed,1
21423985,473914976,Directed,1
21423985,419788091,Directed,1
21423985,221822662,Directed,1
21423985,22415635,Directed,1
21423985,14687587,Directed,1
21423985,30941476,Directed,1
21423985,204525639,Directed,1
21423985,34941106,Directed,1
21423985,63129578,Directed,1
21423985,45565446,Directed,1
21423985,63425851,Directed,1
21423985,19764533,Directed,1
21423985,20868447,Directed,1
21423985,38260259,Directed,1
21423985,24143353,Directed,1
21423985,16432083,Directed,1
21423985,27317182,Directed,1
21746816,1250443298751295488,Directed,1
21746816,39974570,Directed,1
21746816,234132789,Directed,1
21746816,295361148,Directed,1
21746816,28952277,Directed,1
21746816,471837649,Directed,1
21746816,32535843,Directed,1
21746816,31343887,Directed,1
21746816,419788091,Directed,1
21746816,262164620,Directed,1
21746816,42845459,Directed,1
21746816,338369157,Directed,1
21746816,310626575,Directed,1
21746816,24531620,Directed,1
21746816,204525639,Directed,1
21746816,42042554,Directed,1
21746816,333903537,Directed,1
21746816,28361716,Directed,1
21746816,1551459979,Directed,1
21746816,218910852,Directed,1
21746816,101727020,Directed,1
21746816,30941476,Directed,1
21746816,21423985,Directed,1
21746816,1382743280,Directed,1
21746816,26837025,Directed,1
